latitude	longitude	altitude	temperature	municipality	vereda	uchuva_ideal	temp_prob	alt_prob	alt_temp_prob	geometry
7.342	-74.52	650.0	23.86	Segovia	CAÑAVERAL DE CHICAMOCHE	0	0.24714205159330327	0.2563401514150736	0.06335243092645929	POINT (-74.52 7.342)
7.342	-74.511	644.0	23.9	Segovia	CAÑAVERAL DE CHICAMOCHE	0	0.24385048692652475	0.25381033588598584	0.061891773992782444	POINT (-74.511 7.342)
7.342	-74.502	679.0	23.67	Segovia	CAÑAVERAL DE CHICAMOCHE	0	0.2631639649995733	0.2687911755304017	0.07073615150947679	POINT (-74.502 7.342)
7.342	-74.492	739.0	23.5	Segovia	PUEBLO NUEVO	0	0.27803730045319414	0.2957145937830939	0.08221968736006433	POINT (-74.492 7.342)
7.342	-74.483	709.0	23.48	Segovia	PUEBLO NUEVO	0	0.2798202069764939	0.28205857975194687	0.07892569016568568	POINT (-74.483 7.342)
7.342	-74.474	785.0	23.36	Segovia	PUEBLO NUEVO	0	0.29066263914203166	0.31739364282409605	0.09225447387015512	POINT (-74.474 7.342)
7.342	-74.465	738.0	23.51	Segovia	PUEBLO NUEVO	0	0.2771484488280297	0.2952531957751478	0.08182896522060078	POINT (-74.465 7.342)
7.342	-74.456	717.0	23.64	Segovia	PUEBLO NUEVO	0	0.2657519298197481	0.2856624242774899	0.0759153405287306	POINT (-74.456 7.342)
7.342	-74.447	734.0	23.53	Segovia	PUEBLO NUEVO	0	0.27537595661575703	0.2934118574939717	0.08079857093980863	POINT (-74.447 7.342)
7.342	-74.438	696.0	23.78	Segovia	PUEBLO NUEVO	0	0.2538103358859857	0.27626133370647327	0.07011798190035037	POINT (-74.438 7.342)
7.342	-74.429	689.0	23.82	Segovia	PUEBLO NUEVO	0	0.25046201667353085	0.2731701275644851	0.06841874104476663	POINT (-74.429 7.342)
7.342	-74.419	698.0	23.77	Segovia	PUEBLO NUEVO	0	0.2546518400188081	0.2771484488280299	0.07057636245241629	POINT (-74.419 7.342)
7.342	-74.41	707.0	23.71	Segovia	PUEBLO NUEVO	0	0.2597379606074984	0.2811619334524313	0.07302842719539568	POINT (-74.41 7.342)
7.342	-74.401	591.0	24.46	Segovia	PUEBLO NUEVO	0	0.20076263282313295	0.2321572117394513	0.04660849305768979	POINT (-74.401 7.342)
8.836	-76.453	16.0	27.25	Arboletes	BAJO GRANDE	0	0.06321270307528885	0.07365759636353592	0.004656095768167672	POINT (-76.453 8.836)
8.836	-76.444	12.0	27.27	Arboletes	BAJO GRANDE	0	0.06262078670525414	0.07298714129450543	0.004570512207229471	POINT (-76.444 8.836)
8.836	-76.435	17.0	27.24	Arboletes	BAJO GRANDE	0	0.06351037503827965	0.07382598567015253	0.004688716037482046	POINT (-76.435 8.836)
8.836	-76.426	22.0	27.21	Arboletes	BAJO GRANDE	0	0.06441028201486453	0.07467260408209815	0.004809683487712266	POINT (-76.426 8.836)
8.836	-76.416	23.0	27.2	Arboletes	EL GUAIMARO	0	0.06471255803122686	0.07484286474863389	0.004843273228269233	POINT (-76.416 8.836)
8.836	-76.407	79.0	26.84	Arboletes	EL GUAIMARO	0	0.07638934926912296	0.08488817303679642	0.006484552298925588	POINT (-76.407 8.836)
8.836	-76.398	52.0	27.01	nd	nd	0	0.07067933783968737	0.0799181734206494	0.005648563578728802	POINT (-76.398 8.836)
7.333	-76.644	35.0	26.23	nd	nd	0	0.09999270956516967	0.07691052852065822	0.007690492140869876	POINT (-76.644 7.333)
7.333	-76.635	52.0	26.12	nd	nd	0	0.10480141555313639	0.0799181734206494	0.008375537702905098	POINT (-76.635 7.333)
7.333	-76.626	38.0	26.21	nd	nd	0	0.100853934697341	0.07743456669152339	0.007809580732423796	POINT (-76.626 7.333)
7.333	-76.617	53.0	26.11	Mutata	VILLA LUZ	0	0.10524734840906945	0.08009799151029831	0.008430101219351054	POINT (-76.617 7.333)
7.333	-76.608	40.0	26.24	Mutata	VILLA LUZ	0	0.09956426140681884	0.07778551870657231	0.007744657718166163	POINT (-76.608 7.333)
7.333	-76.599	43.0	26.22	Mutata	VILLA LUZ	0	0.10042259974432699	0.07831434399335267	0.007864530021083994	POINT (-76.599 7.333)
7.333	-76.59	44.0	26.22	Mutata	VILLA LUZ	0	0.10042259974432699	0.07849125984081036	0.007882296370421666	POINT (-76.59 7.333)
7.333	-76.581	45.0	26.21	Mutata	VILLA LUZ	0	0.100853934697341	0.07866849668109015	0.007934027427012652	POINT (-76.581 7.333)
7.333	-76.571	47.0	26.2	Mutata	VILLA LUZ	0	0.10128671717171848	0.07902393481975686	0.008004074935885029	POINT (-76.571 7.333)
7.333	-76.562	50.0	26.18	Mutata	LEONCITO	0	0.10215663564646131	0.07955950871822769	0.008127531744339448	POINT (-76.562 7.333)
7.333	-76.553	52.0	26.16	Mutata	MUNGUDÓ	0	0.10303237703514251	0.0799181734206494	0.008234159375836254	POINT (-76.553 7.333)
7.333	-76.544	55.0	26.14	Mutata	MUNGUDÓ	0	0.10391396311128222	0.08045860101073395	0.008360772097414782	POINT (-76.544 7.333)
7.333	-76.535	60.0	26.11	Mutata	MUNGUDÓ	0	0.10524734840906945	0.0813658196645253	0.00856353677082181	POINT (-76.535 7.333)
7.333	-76.526	63.0	26.09	Mutata	MUNGUDÓ	0	0.10614364083239748	0.08191407065583416	0.00869465769481249	POINT (-76.526 7.333)
7.333	-76.517	73.0	26.03	Mutata	MUNGUDÓ	0	0.10886812408688656	0.08376294944421535	0.009119115173976443	POINT (-76.517 7.333)
7.333	-76.508	73.0	26.03	Mutata	CAUCHERAS	0	0.10886812408688656	0.08376294944421535	0.009119115173976443	POINT (-76.508 7.333)
7.333	-76.498	98.0	25.87	Mutata	CAUCHERAS	0	0.1163982241784569	0.08853104478049303	0.010304856397112835	POINT (-76.498 7.333)
7.333	-76.489	132.0	25.6	Mutata	CAUCHERAS	0	0.13000270773665104	0.09535848146751451	0.012396860796432143	POINT (-76.489 7.333)
7.333	-76.48	165.0	25.38	Mutata	CAUCHERAS	0	0.14194892062526893	0.10237502424331436	0.014532024190324212	POINT (-76.48 7.333)
